year,ynew,y,death,inj,magnitude,intensity,area,population,log.area,log.population
2005,54.95163935,10.342,0,0,6.5,6,19700,10000,9.888373915,9.210340372
2005,222.4951601,41.874,0,0,5.9,6,131527,10000,11.78696743,9.210340372
2005,145.8370388,27.4468,1,11,5.1,6,103263,62195,11.54503441,11.03802989
2005,903.1792357,169.98,0,44,5.3,6,2805710,308845,14.84716718,12.64059481
2005,489.8995501,92.2,0,29,5.3,6,996642,127624,13.81214691,11.75684372
2005,34.2557744,6.447,0,0,5.2,6,60858,3413,11.01629856,8.135346949
2005,134.5364057,25.32,1,3,4.4,6,11622,21045,9.360655133,9.954418281
2005,10826.64138,2037.5939,13,775,5.7,7,17651102,1340000,16.68630878,14.10818017
2006,530.7304463,110.6,0,1,5,6,690396,60273,13.44502062,11.00663952
2006,21.55840509,4.4926,0,1,4.3,6,105839,28022.5,11.56967435,10.24076304
2006,531.1316133,110.6836,0,2,5,6,453559,85000,13.02488064,11.35040654
2006,24.8800291,5.1848,0,0,5.6,6,12226,38102,9.411320111,10.54802205
2006,351.9880139,73.3515,1,19,5,6,759815.4,69054,13.54083079,11.14264409
2006,47.03490611,9.8017,0,0,5.1,5,81543.47,30000,11.30889153,10.30895266
2006,204.1291988,42.5389,0,0,5.6,7,320749,8820,12.67841416,9.084777149
2006,1146.876823,239,22,114,5.1,6,1375894,151168,14.13461426,11.92614708
2006,972.6859084,202.7,2,67,5.1,7,1182666,262538,13.98328177,12.47815111
2006,6.06501095,1.2639,0,0,5.1,6,21825,51136.5,9.990811381,10.84225381
2007,45.21980629,10.0173,0,0,4.7,6,34474,248000,10.4479607,12.42118403
2007,8570.605275,1898.6,3,419,6.4,8,8764129,403128,15.9861777,12.90700941
2007,499.2822219,110.6033,0,0,5.7,7,1501187,115845,14.22176669,11.66000837
2008,84.72905065,20.06,0,1,4.6,6,305079.5,74419,12.62832768,11.21746656
2008,822.7883518,194.799,0,0,7.3,7,1321416,186248,14.09421445,12.1348344
2008,273.701021,64.8,0,0,5,6,477201,66824,13.07569306,11.10981758
2008,6.674419035,1.5802,0,0,4.2,6,3599,35000,8.188411308,10.46310334
2008,166.1234261,39.3305,0,0,5,6,358013,17000,12.78832458,9.740968623
2008,362.5866948,85.8441,0,0,5.1,6,721791,29669,13.4894909,10.29785801
2008,55.86541952,13.2264,0,0,4.2,6,252146,17000,12.43776356,9.740968623
2008,3569559.721,845110,69227,375783,8,11,832835900,104870000,20.54034718,18.46823205
2008,135.8997374,32.1749,0,0,5.2,6,82243,42000,11.31743356,10.6454249
2008,5524.705795,1308,5,130,5.9,8,4192112,355395,15.24871522,12.78098513
2008,18845.96257,4461.87,41,1010,6.1,8,14896793,1260000,16.51665651,14.04662228
2008,153.9221893,36.4418,0,0,5.3,6,145003,10358,11.88450971,9.245514447
2008,284.1928935,67.284,0,0,6.8,7,287051,30380,12.56741518,10.32153978
2008,1737.536868,411.37,10,60,6.6,8,1225872,121406,14.01916299,11.70689558
2008,1124.003928,266.1132,0,3,6.3,7,20374,72200,9.922014857,11.18719532
2008,18.80005007,4.451,0,1,4.1,6,89421,8000,11.40111083,8.987196821
2008,758.5911015,179.6,0,22,4.9,6,724621,109426,13.49340404,11.6030038
2009,175.4931556,46.1203,0,0,5,6,265187,13851,12.48819052,9.536112711
2009,345.0617434,90.6836,0,0,5.2,6,436974,54790,12.98762898,10.91126297
2009,176.4029592,46.3594,0,0,5.5,6,282949,34204,12.55302195,10.44009788
2009,83.01814867,21.8175,0,0,5,6,128126,13798,11.76076943,9.532278933
2009,8196.222859,2154,1,372,6,8,8485767,803206,15.95390085,13.5963665
2009,86.49031829,22.73,2,1,4,6,170783.5,296000,12.04815195,12.59811473
2009,421.6439165,110.8097,0,0,6.4,7,56527,15000,10.94247368,9.61580548
2009,933.3952959,245.3,0,31,5,6,866914,110736,13.67269506,11.61490427
2010,955.7088521,294.05,1,16,5,7,9038684,437000,16.01702415,12.98768847
2010,58.79047635,18.0885,0,0,4.2,5,61832,1700,11.03217631,7.43838353
2010,1151.855865,354.4,0,35,5.1,6,10214878,164521,16.13935584,12.0107935
2010,34.50627356,10.6168,0,0,4.5,5,330374,8169,12.70798063,9.008101781
2010,74257.68402,22847.41,2698,11000,7.1,9,17520608,230200,16.67888835,12.34670378
2010,13.90254928,4.2775,0,0,4.6,5,35540,3094,10.4784141,8.037220031
2010,78.26379581,24.08,0,0,5.1,6,60770,2160,11.01485153,7.677863501
2010,46.99240414,14.4585,0,12,4.7,6,54000,36627,10.89673933,10.50854095
2011,598.7936015,232.351,0,0,4.8,6,968613,54224,13.78362043,10.90087889
2011,6145.88696,2384.8,25,314,5.8,7,6042677,353435,15.61435768,12.77545487
2011,870.0316327,337.6,0,12,7.2,6,1240205,232937,14.03078725,12.35852331
2011,460.2199318,178.58,0,4,5.3,7,273478,29940,12.51897646,10.30695066
2011,237.7425864,92.2517,0,7,5.3,6,601201,65000,13.3066846,11.08214255
2011,717.466844,278.4,0,6,5.2,6,935737,162720,13.74908973,11.99978621
2011,167.5844313,65.0281,0,0,5.2,6,277399,79284,12.53321218,11.28079162
2011,85.81769362,33.3,0,0,5.2,6,437127,14085,12.98797905,9.55286568
2011,386.3084767,149.9,0,6,5.2,6,579662,184612,13.27020045,12.1260116
2011,472.182609,183.2219,0,21,5.8,7,720714,47606,13.48799767,10.77071408
2011,7.519227768,2.9177,0,0,5.5,6,16200,1753,9.692766521,7.469083885
2011,3436.959973,1333.65,7,136,6.8,7,1788789,79574,14.39704941,11.28444269
2011,30.54001737,11.8505,0,0,5,6,104270,9638,11.55473897,9.173468897
2011,1748.464637,678.46,0,0,6,7,4283171,450000,15.27020418,13.01700286
2011,125.2216737,48.59,0,0,5.2,6,274484,72576,12.52264825,11.19238957
2012,79.54090238,42.0811,0,0,5,6,259945,19030,12.46822535,9.85377196
2012,989.0391817,523.251,0,0,6,6,2553246,45000,14.75287605,10.71441777
2012,16.28598989,8.6161,0,0,5.4,7,6315,52000,8.750683035,10.858999
2012,85.94672633,45.4701,0,0,5.4,6,86143,6700,11.36376399,8.809862805
2012,1458.350372,771.54,4,442,5.7,7,1660364,116200,14.32254741,11.66306812
2012,3762.067255,1990.321,0,52,6.6,8,6630427,552503,15.70717976,13.22221414
2012,29.15793456,15.426,1,3,4.9,6,342377,102500,12.74366775,11.53761808
2012,93.71555991,49.5802,0,0,6.2,7,224851,24361,12.32319324,10.10073877
2012,9018.129918,4771.04,81,834,5.7,8,9689165,838600,16.08651881,13.63948911
2012,12.0249545,6.3618,0,0,5.5,6,47502,6000,10.76852709,8.699514748
2012,120.7483638,63.8819,0,0,5.1,6,250184,29751,12.42995193,10.30061802
2013,174.3379425,120.99,0,0,5.4,7,177251,25450,12.08532209,10.14447102
2013,118.9054221,82.52,0,0,6.1,6,181420,29282.5,12.10857006,10.28474535
2013,1020.177397,708,0,30,5.5,7,1749147,141588,14.3746388,11.86067671
2013,34.5390568,23.97,0,0,5.2,6,84630,3168,11.34604409,8.060855753
2013,11.39774465,7.91,0,0,5.6,6,38260,2792,10.55216024,7.934513464
2013,300.8370579,208.78,0,14,5,7,469973,164470,13.06043053,12.01048346
2013,95841.48778,66513.7,196,13019,7,9,56585749,2183628,17.85126773,14.59649827
2013,932.5689428,647.2,0,13,5.5,7,2402486,101643,14.69201459,11.52922195
2013,35181.71092,24416,95,2414,6.6,8,21477955,1684000,16.88253762,14.33668247
2013,3900.795253,2707.14,0,87,6.1,8,1842388,120393,14.42657311,11.69851667
2013,2833.874134,1966.7,3,63,5.9,8,1785569,114051,14.39524769,11.644401
2013,2914.99841,2023,0,25,5.5,7,4119920,88733,15.2313443,11.39338714
2013,50.53336345,35.07,0,0,5.3,6,273944,49311,12.52067898,10.80590246
2013,108.5163274,75.31,0,4,5.1,7,440161,108921.5,12.99489585,11.59838272
2014,1259.979728,1080.61,0,0,7.3,9,3311080,450000,15.01278498,13.01700286
2014,518.9818502,445.1,0,32,5.3,6,992519,134285,13.80800143,11.80771969
2014,2099.480385,1800.6,0,61,6.1,8,2200087,274419,14.60400746,12.52241141
2014,23143.72218,19849,617,3143,6.5,9,21423504,1800507,16.8799992,14.40357885
2014,352.7117719,302.5,0,20,5,6,493024,113998,13.10831313,11.64393618
2014,174.8983993,150,0,1,5,6,178000,13000,12.08953883,9.472704636
2014,5958.438667,5110.2,1,331,6.6,8,5469392,575633,15.51467802,13.26322558
2014,253.5210597,217.43,0,0,4.2,6,1760039,177308,14.38084653,12.08564361
2014,4934.198661,4231.77,5,78,6.3,8,4664405,183926,15.35547084,12.12228878
2014,2771.090238,2376.6,1,22,5.9,8,1422897,575633,14.16820549,13.26322558
2015,189,189,0,20,5,5,653914,2109,13.39073112,7.65396918
2015,82,82,0,17,5,6,5932360,83115,15.59593267,11.32798047
2015,51,51,0,1,5,6,224190,9964,12.32024919,9.206733876
2015,837,837,0,50,5.5,7,1736411,150827,14.3673309,11.92388876
2015,75.37,75.37,2,13,4.3,6,305020,61004,12.62813263,11.01869471
2015,517.04,517.04,0,1,5.5,7,505837,75823,13.13396976,11.23615696
2015,5.55,5.55,1,6,4.5,6,11176,15585,9.321523901,9.654064192
2015,337.14,337.14,0,0,5.8,7,1698387.5,22937,14.34518983,10.04050661
2015,10302,10302,27,860,8.1,9,2305971,203880,14.6510124,12.22528686
2015,5430,5430,3,260,6.5,8,7542362,653608,15.83604595,13.39026306
2015,242,242,0,0,5.1,6,403089,56773,12.90691266,10.94681614
2016,,50.8623,0,0,5.3,6,189600,4800,,
2016,,1222.5109,0,10,6.4,8,2326268,9392,,
2016,,39,0,0,5,6,244469,1144,,
2016,,21,0,11,4.4,6,1316627,NA,,
2016,,1446,0,70,5.5,7,0,NA,,
