"","year","yraw","y1","magnitude","death","inj","intensity","y2","f1","f2","u1","u2","u2_","magnitude.f"
"108",1999,4.58,6.519241092087,5,0,3,6,3,0.0144710003061698,0.0279097183623652,0.119784036373349,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"109",1999,1.1414,1.62468597871356,5.1,0,0,6,0,0.0197971841066698,0.35843056944662,0.0384029050599111,0.35843056944662,0,"(3.9,5.2]"
"110",1999,145.0324,206.441306062008,5.6,0,73,7,73,0.00072957731385535,0.00124467181423889,0.728352136296418,0.805898635958929,0.80464237397113,"(5.2,6]"
"111",1999,76.57,108.990893105044,5.2,1,12,6,13,0.00175487960564127,0.00818835382797786,0.618788883106897,0.620939089532245,0.612750735704267,"(3.9,5.2]"
"112",1999,12.33,17.550708005553,5,0,0,6,0,0.00962852163473019,0.35843056944662,0.249303317191712,0.35843056944662,0,"(3.9,5.2]"
"113",1999,84.888,120.830859787136,5.6,0,0,7,0,0.00153374916434113,0.35843056944662,0.638210711580176,0.35843056944662,0,"(5.2,6]"
"114",1999,3.55,5.05312355391023,5,1,2,6,3,0.0155443740041341,0.0279097183623652,0.0978064949924187,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"115",2000,26.5184,37.5901375115207,5.1,0,14,7,14,0.00562039622493933,0.00767315622197684,0.3964515393211,0.628612245754221,0.620939089532245,"(3.9,5.2]"
"116",2000,1066.21,1511.36495852535,6.5,7,2528,8,2535,3.37062194216493e-05,6.5598836338862e-06,0.915795696040875,0.968698446669723,0.968691884809366,"(6,9]"
"117",2000,103.74,147.05264516129,5.7,0,69,7,69,0.00117712128647061,0.00134237687742722,0.673423771794979,0.800728604271155,0.799373089127005,"(5.2,6]"
"118",2000,4.671,6.62119631336406,5.7,0,0,6,0,0.0144034659969527,0.35843056944662,0.12125598097796,0.35843056944662,0,"(5.2,6]"
"119",2000,3.241,4.59415483870968,5.3,0,0,7,0,0.0159299017788004,0.35843056944662,0.0905847445626251,0.35843056944662,0,"(5.2,6]"
"120",2000,56.8,80.5146543778802,4.7,1,28,6,29,0.00255564653540555,0.00394819735318402,0.558545256725191,0.709983812841915,0.705956652607555,"(3.9,5.2]"
"121",2000,71.9823,102.035739539171,5.9,0,24,8,24,0.00190948711964578,0.0048676094094982,0.606057800670239,0.688076655752582,0.68309709331401,"(5.2,6]"
"122",2000,78.7,111.558156682028,5.1,2,292,6,294,0.00170279223097319,0.000170445792034123,0.62322672603627,0.902799370190928,0.902628493588512,"(3.9,5.2]"
"123",2000,5.4193,7.6819201843318,6.6,0,5,8,5,0.0137433174037176,0.0184041032159247,0.136177479144638,0.530824278722768,0.512420175506844,"(6,9]"
"124",2000,50.6,71.7260829493088,5.8,0,17,6,17,0.0029248149981952,0.00645901439398297,0.534520163374432,0.649109493113584,0.642650478719601,"(5.2,6]"
"125",2001,188.22,264.972411899313,6,3,154,6,157,0.000506144044706858,0.000426761668648713,0.763877343412325,0.866241099370303,0.86581237061696,"(5.2,6]"
"126",2001,55.75,78.4837528604119,5,0,6,6,6,0.00263414546987511,0.0158219434189582,0.55327591420495,0.546646222141727,0.530824278722768,"(3.9,5.2]"
"127",2001,1.2325,1.73508924485126,5,0,0,5,0,0.0195625556645658,0.35843056944662,0.0405754885411116,0.35843056944662,0,"(3.9,5.2]"
"128",2001,504.9,710.78828375286,5.9,3,235,7,238,0.000111333146185428,0.000232853436646829,0.86743698518433,0.891656764964248,0.891423189723822,"(5.2,6]"
"129",2001,149.34,210.237913043478,5.8,1,71,8,72,0.000710606535239561,0.00126797114648785,0.731085788314016,0.80464237397113,0.803362450525735,"(5.2,6]"
"130",2001,36.6,51.5247597254005,5.3,1,15,6,16,0.00417870615558369,0.00681816955677838,0.463950813721947,0.642650478719601,0.635832309162823,"(5.2,6]"
"131",2001,35.81,50.4126132723112,4.9,0,33,6,33,0.00427131169543558,0.003401439739529,0.459252279738235,0.724638227432945,0.72117518745162,"(3.9,5.2]"
"132",2001,19.3,27.1701601830664,5.3,0,1,6,1,0.00728306684973538,0.0654409925317498,0.329808390633934,0.423871561978369,0.35843056944662,"(5.2,6]"
"133",2001,1.17,1.64710297482838,5.3,0,0,6,0,0.0197483091592763,0.35843056944662,0.0388461494186426,0.35843056944662,0,"(5.2,6]"
"134",2001,37.7,53.0733180778032,5.1,0,4,6,4,0.00405490740356769,0.0221040647005905,0.470325176220391,0.512420175506844,0.490316110806254,"(3.9,5.2]"
"135",2001,410.5,577.893821510297,6,1,220,7,221,0.000153914712639115,0.000259618961865031,0.850058369211281,0.887477563892432,0.88721708076208,"(5.2,6]"
"136",2001,43.9717,61.9024939130435,8.1,0,2,6,2,0.00344750509359392,0.0385348304655191,0.50333141565828,0.462406392443888,0.423871561978369,"(6,9]"
"137",2002,30.34,43.0569042675894,5.3,0,9,7,9,0.00497368256880325,0.0112450319205706,0.425353006363134,0.584227095846326,0.572982063925755,"(5.2,6]"
"138",2002,8.7362,12.3979474971165,4,0,0,6,0,0.0114440935047476,0.35843056944662,0.195241755580056,0.35843056944662,0,"(3.9,5.2]"
"139",2002,8.0076,11.3639573702422,5,0,0,6,0,0.0118817225499278,0.35843056944662,0.183185012466956,0.35843056944662,0,"(3.9,5.2]"
"140",2002,70.2017,99.6264955940023,5.9,2,350,7,352,0.00196814628791721,0.000130426154738501,0.601387284635857,0.911439281149702,0.911308578251546,"(5.2,6]"
"141",2002,30.4585,43.2250731257209,5.7,0,1,6,1,0.00495565828955291,0.0654409925317498,0.426187907887442,0.423871561978369,0.35843056944662,"(5.2,6]"
"142",2003,31.2,43.7525416001824,5.4,0,0,6,0,0.00489978153203543,0.35843056944662,0.42878708127383,0.35843056944662,0,"(5.2,6]"
"143",2003,0.5,0.701162525643948,5.4,0,0,6,0,0.0228182304386785,0.35843056944662,0.0189246674186877,0.35843056944662,0,"(5.2,6]"
"144",2003,1397.92,1960.33823569638,6.8,268,4853,9,5121,2.22523487562293e-05,2.23861494102497e-06,0.92807056122775,0.978464853050809,0.978462614101321,"(6,9]"
"145",2003,73.24,102.706286756326,6.6,0,0,8,0,0.00189365437706282,0.35843056944662,0.607332881932131,0.35843056944662,0,"(6,9]"
"146",2003,13.02,18.2582721677684,4.5,0,1,6,1,0.00941694460929158,0.0654409925317498,0.256040808354861,0.423871561978369,0.35843056944662,"(3.9,5.2]"
"147",2003,77.2,108.259493959426,5.8,1,3,7,4,0.00177018427547585,0.0221040647005905,0.617499781643882,0.512420175506844,0.490316110806254,"(5.2,6]"
"148",2003,1.79,2.51016184180533,4.8,0,0,6,0,0.0182310033682248,0.35843056944662,0.0551921486771212,0.35843056944662,0,"(3.9,5.2]"
"149",2003,5.61,7.8670435377251,4.8,1,1,6,2,0.0136352018250587,0.0385348304655191,0.138711651144667,0.462406392443888,0.423871561978369,"(3.9,5.2]"
"150",2003,591.9,830.036197857306,6.2,16,793,8,809,8.72232936613681e-05,3.73117922745175e-05,0.879181239225734,0.942697052994093,0.942659706244479,"(6,9]"
"151",2003,806.49,1130.96113061318,5.9,4,1064,8,1068,5.34609534661299e-05,2.44846522971212e-05,0.899681798355163,0.950507814863927,0.950483312786873,"(5.2,6]"
"152",2003,43.42,60.8889537269205,5.7,2,14,7,16,0.00350970938233847,0.00681816955677838,0.499805855184191,0.642650478719601,0.635832309162823,"(5.2,6]"
"153",2003,21.87,30.6688488716663,5,0,9,6,9,0.00664761658411914,0.0112450319205706,0.35415147384439,0.584227095846326,0.572982063925755,"(3.9,5.2]"
"154",2003,8.47,11.8776931844085,5.9,0,0,6,0,0.0116605322996279,0.35843056944662,0.189231933958023,0.35843056944662,0,"(5.2,6]"
"155",2003,76.36,107.081540916344,7.9,0,0,6,0,0.00179528380796528,0.35843056944662,0.615399859859009,0.35843056944662,0,"(6,9]"
"156",2003,415.6,582.80629131525,6.1,3,57,8,60,0.000151896721966981,0.00161520208511919,0.850809496305914,0.787481995515116,0.785848932932492,"(6,9]"
"157",2003,542.18,760.312596307272,6.1,10,46,8,56,0.00010014986560626,0.00176728864153192,0.872665859274292,0.780724549561366,0.778936522259797,"(6,9]"
"158",2003,87.92,123.292418509232,5.2,1,133,8,134,0.00149334297118557,0.000535488942327646,0.641936041178095,0.855253261762274,0.85471490851527,"(3.9,5.2]"
"159",2003,191.9,269.106177342147,5.1,4,94,7,98,0.000494640675119601,0.000831864847516618,0.765945701393121,0.831284992900134,0.830447186066286,"(3.9,5.2]"
