"","year","yraw","y1","magnitude","death","inj","intensity","log.area","log.population","y2"
"265",2013,24416,25253.4014794889,6.6,95,2414,8,16.88253762,14.33668247,2509
"266",2013,2707.14,2799.98743779422,6.1,0,87,8,14.42657311,11.69851667,87
"267",2013,1966.7,2034.1523873571,5.9,3,63,8,14.39524769,11.644401,66
"268",2013,2023,2092.38332212508,5.5,0,25,7,15.2313443,11.39338714,25
"269",2013,35.07,36.2728043039677,5.3,0,0,6,12.52067898,10.80590246,0
"270",2013,75.31,77.8929253530599,5.1,0,4,7,12.99489585,11.59838272,4
"271",2014,1080.61,1095.74958298995,7.3,0,0,9,15.01278498,13.01700286,0
"272",2014,445.1,451.335948574254,5.3,0,32,6,13.80800143,11.80771969,32
"273",2014,1800.6,1825.82680072523,6.1,0,61,8,14.60400746,12.52241141,61
"274",2014,19849,20127.0888412725,6.5,617,3143,9,16.8799992,14.40357885,3760
"275",2014,302.5,306.738091313664,5,0,20,6,13.10831313,11.64393618,20
"276",2014,150,152.101532882809,5,0,1,6,12.08953883,9.472704636,1
"277",2014,5110.2,5181.79502225152,6.6,1,331,8,15.51467802,13.26322558,332
"278",2014,217.43,220.476241964727,4.2,0,0,6,14.38084653,12.08564361,0
"279",2014,4231.77,4291.05802538322,6.3,5,78,8,15.35547084,12.12228878,83
"280",2014,2376.6,2409.89668699522,5.9,1,22,8,14.16820549,13.26322558,23
"281",2015,189,189,5,0,20,5,13.39073112,7.65396918,20
"282",2015,82,82,5,0,17,6,15.59593267,11.32798047,17
"283",2015,51,51,5,0,1,6,12.32024919,9.206733876,1
"284",2015,837,837,5.5,0,50,7,14.3673309,11.92388876,50
"285",2015,75.37,75.37,4.3,2,13,6,12.62813263,11.01869471,15
"286",2015,517.04,517.04,5.5,0,1,7,13.13396976,11.23615696,1
"287",2015,5.55,5.55,4.5,1,6,6,9.321523901,9.654064192,7
"288",2015,337.14,337.14,5.8,0,0,7,14.34518983,10.04050661,0
"289",2015,10302,10302,8.1,27,860,9,14.6510124,12.22528686,887
"290",2015,5430,5430,6.5,3,260,8,15.83604595,13.39026306,263
"291",2015,242,242,5.1,0,0,6,12.90691266,10.94681614,0
